Date/Time,Jpeg,Png,Gif
08/05/2016 - 23:53,1113,215,51
08/06/2016 - 10:56,1490,282,63
08/06/2016 - 11:56,1488,284,64
08/06/2016 - 12:56,1613,285,51
08/06/2016 - 13:56,1661,287,60
08/06/2016 - 14:56,1727,290,59
08/06/2016 - 15:56,799,123,46
08/06/2016 - 16:56,276,29,98
08/06/2016 - 17:56,261,68,100
08/06/2016 - 18:56,300,77,109
08/06/2016 - 19:56,328,71,110
08/06/2016 - 20:56,313,86,109
08/06/2016 - 21:56,332,87,104
08/06/2016 - 22:56,316,86,111
08/06/2016 - 23:56,320,87,148
08/07/2016 - 00:56,409,90,146
08/07/2016 - 01:56,383,95,148
08/07/2016 - 02:56,338,100,147
08/07/2016 - 03:56,285,90,109
08/07/2016 - 04:56,262,85,120
08/07/2016 - 05:56,366,42,109
08/07/2016 - 06:56,332,68,42
08/07/2016 - 07:56,390,70,40
08/07/2016 - 08:56,396,60,49
08/07/2016 - 09:56,408,59,49
08/07/2016 - 10:56,400,59,37
08/07/2016 - 11:56,410,77,35
08/07/2016 - 12:56,354,76,40
08/07/2016 - 13:56,362,76,40
08/07/2016 - 14:56,338,75,44
08/07/2016 - 15:56,387,80,43
08/07/2016 - 16:56,408,91,40
08/07/2016 - 17:56,366,44,66
08/07/2016 - 18:56,374,32,66
08/07/2016 - 19:56,427,49,86
08/07/2016 - 20:56,400,43,86
08/07/2016 - 21:56,399,44,112
08/07/2016 - 22:56,419,44,111
08/07/2016 - 23:56,427,55,108
08/08/2016 - 00:56,427,56,135
08/08/2016 - 01:56,440,56,122
08/08/2016 - 02:56,391,63,143
08/08/2016 - 03:56,378,64,153
08/08/2016 - 04:56,373,64,138
08/08/2016 - 05:56,355,56,96
08/08/2016 - 06:56,372,55,107
08/08/2016 - 07:56,362,83,107
08/08/2016 - 08:56,407,91,103
08/08/2016 - 09:56,439,92,91
08/08/2016 - 10:56,436,92,134
08/08/2016 - 11:56,341,77,141
08/08/2016 - 12:56,283,71,140
08/08/2016 - 13:56,274,72,137
08/08/2016 - 14:56,280,76,145
08/08/2016 - 15:56,220,50,135
08/08/2016 - 16:56,386,63,124
08/08/2016 - 17:56,457,45,95
08/08/2016 - 18:56,546,63,100
08/08/2016 - 19:56,537,48,99
08/08/2016 - 20:56,534,48,89
08/08/2016 - 21:56,264,23,86
08/08/2016 - 22:56,265,23,88
08/08/2016 - 23:56,311,34,38
08/09/2016 - 00:56,366,37,38
08/09/2016 - 01:56,310,36,40
08/09/2016 - 02:56,298,50,40
08/09/2016 - 03:56,272,50,41
08/09/2016 - 04:56,270,51,54
08/09/2016 - 05:56,293,52,60
08/09/2016 - 06:56,134,26,57
08/09/2016 - 07:56,125,7,73
08/09/2016 - 08:56,127,11,79
08/09/2016 - 09:56,129,11,77
08/09/2016 - 10:56,185,30,63
08/09/2016 - 11:56,249,49,62
08/09/2016 - 12:56,214,48,64
08/09/2016 - 13:56,277,55,74
08/09/2016 - 14:56,273,54,106
08/09/2016 - 15:56,277,58,134
08/09/2016 - 16:56,378,58,132
08/09/2016 - 17:56,366,37,129
08/09/2016 - 18:56,340,40,123
08/09/2016 - 19:56,326,18,122
08/09/2016 - 20:56,326,17,164
08/09/2016 - 21:56,302,32,108
08/09/2016 - 22:56,342,39,107
08/09/2016 - 23:56,382,44,153
08/10/2016 - 00:56,421,48,154
08/10/2016 - 01:56,470,49,79
08/10/2016 - 02:56,394,50,141
08/10/2016 - 03:56,367,58,141
08/10/2016 - 04:56,345,69,148
08/10/2016 - 05:56,326,58,155
08/10/2016 - 06:56,382,61,151
08/10/2016 - 07:56,395,63,210
08/10/2016 - 08:56,396,61,210
08/10/2016 - 09:56,375,44,214
08/10/2016 - 10:56,322,44,216
08/10/2016 - 11:56,339,46,229
08/10/2016 - 12:56,340,41,220
08/10/2016 - 13:56,548,84,277
08/10/2016 - 14:56,564,74,298
08/10/2016 - 15:56,722,89,222
08/10/2016 - 16:56,694,94,223
08/10/2016 - 17:56,633,98,124
08/10/2016 - 18:56,1138,559,121
08/10/2016 - 19:56,445,86,122
08/10/2016 - 20:56,1988,89,111
08/10/2016 - 21:56,414,68,113
08/10/2016 - 22:56,468,68,111
08/10/2016 - 23:56,430,79,106
08/11/2016 - 00:56,485,82,106
08/11/2016 - 01:56,245,48,48
08/11/2016 - 02:56,228,42,56
08/11/2016 - 03:56,260,52,52
08/11/2016 - 04:56,353,58,50
08/11/2016 - 05:56,256,59,63
08/11/2016 - 06:56,272,59,55
08/11/2016 - 07:56,272,60,87
08/11/2016 - 08:56,272,61,86
08/11/2016 - 09:56,270,60,85
08/11/2016 - 10:56,288,62,76
08/11/2016 - 11:56,280,152,66
08/11/2016 - 12:56,295,151,67
08/11/2016 - 13:56,287,161,69
08/11/2016 - 14:56,399,156,63
08/11/2016 - 15:56,357,152,68
