Date/Time,Jpeg,Png,Gif
08/05/2016 - 23:53,80.71,15.59,3.7
08/06/2016 - 10:56,81.2,15.37,3.43
08/06/2016 - 11:56,81.05,15.47,3.49
08/06/2016 - 12:56,82.76,14.62,2.62
08/06/2016 - 13:56,82.72,14.29,2.99
08/06/2016 - 14:56,83.19,13.97,2.84
08/06/2016 - 15:56,82.54,12.71,4.75
08/06/2016 - 16:56,68.49,7.2,24.32
08/06/2016 - 17:56,60.84,15.85,23.31
08/06/2016 - 18:56,61.73,15.84,22.43
08/06/2016 - 19:56,64.44,13.95,21.61
08/06/2016 - 20:56,61.61,16.93,21.46
08/06/2016 - 21:56,63.48,16.63,19.89
08/06/2016 - 22:56,61.6,16.76,21.64
08/06/2016 - 23:56,57.66,15.68,26.67
08/07/2016 - 00:56,63.41,13.95,22.64
08/07/2016 - 01:56,61.18,15.18,23.64
08/07/2016 - 02:56,57.78,17.09,25.13
08/07/2016 - 03:56,58.88,18.6,22.52
08/07/2016 - 04:56,56.1,18.2,25.7
08/07/2016 - 05:56,70.79,8.12,21.08
08/07/2016 - 06:56,75.11,15.38,9.5
08/07/2016 - 07:56,78,14,8
08/07/2016 - 08:56,78.42,11.88,9.7
08/07/2016 - 09:56,79.07,11.43,9.5
08/07/2016 - 10:56,80.65,11.9,7.46
08/07/2016 - 11:56,78.54,14.75,6.7
08/07/2016 - 12:56,75.32,16.17,8.51
08/07/2016 - 13:56,75.73,15.9,8.37
08/07/2016 - 14:56,73.96,16.41,9.63
08/07/2016 - 15:56,75.88,15.69,8.43
08/07/2016 - 16:56,75.7,16.88,7.42
08/07/2016 - 17:56,76.89,9.24,13.87
08/07/2016 - 18:56,79.24,6.78,13.98
08/07/2016 - 19:56,75.98,8.72,15.3
08/07/2016 - 20:56,75.61,8.13,16.26
08/07/2016 - 21:56,71.89,7.93,20.18
08/07/2016 - 22:56,73,7.67,19.34
08/07/2016 - 23:56,72.37,9.32,18.31
08/08/2016 - 00:56,69.09,9.06,21.84
08/08/2016 - 01:56,71.2,9.06,19.74
08/08/2016 - 02:56,65.49,10.55,23.95
08/08/2016 - 03:56,63.53,10.76,25.71
08/08/2016 - 04:56,64.87,11.13,24
08/08/2016 - 05:56,70.02,11.05,18.93
08/08/2016 - 06:56,69.66,10.3,20.04
08/08/2016 - 07:56,65.58,15.04,19.38
08/08/2016 - 08:56,67.72,15.14,17.14
08/08/2016 - 09:56,70.58,14.79,14.63
08/08/2016 - 10:56,65.86,13.9,20.24
08/08/2016 - 11:56,61.0,13.77,25.22
08/08/2016 - 12:56,57.29,14.37,28.34
08/08/2016 - 13:56,56.73,14.91,28.36
08/08/2016 - 14:56,55.89,15.17,28.94
08/08/2016 - 15:56,54.32,12.35,33.33
08/08/2016 - 16:56,67.36,10.99,21.64
08/08/2016 - 17:56,76.55,7.54,15.91
08/08/2016 - 18:56,77.01,8.89,14.1
08/08/2016 - 19:56,78.51,7.02,14.47
08/08/2016 - 20:56,79.58,7.15,13.26
08/08/2016 - 21:56,70.78,6.17,23.06
08/08/2016 - 22:56,70.48,6.12,23.4
08/08/2016 - 23:56,81.2,8.88,9.92
08/09/2016 - 00:56,82.99,8.39,8.62
08/09/2016 - 01:56,80.31,9.33,10.36
08/09/2016 - 02:56,76.8,12.89,10.31
08/09/2016 - 03:56,74.93,13.77,11.29
08/09/2016 - 04:56,72.0,13.6,14.4
08/09/2016 - 05:56,72.35,12.84,14.81
08/09/2016 - 06:56,61.75,11.98,26.27
08/09/2016 - 07:56,60.98,3.41,35.61
08/09/2016 - 08:56,58.53,5.07,36.41
08/09/2016 - 09:56,59.45,5.07,35.48
08/09/2016 - 10:56,66.55,10.79,22.66
08/09/2016 - 11:56,69.17,13.61,17.22
08/09/2016 - 12:56,65.64,14.72,19.63
08/09/2016 - 13:56,68.23,13.55,18.23
08/09/2016 - 14:56,63.05,12.47,24.48
08/09/2016 - 15:56,59.06,12.37,28.57
08/09/2016 - 16:56,66.55,10.21,23.24
08/09/2016 - 17:56,68.8,6.95,24.25
08/09/2016 - 18:56,67.59,7.95,24.45
08/09/2016 - 19:56,69.96,3.86,26.18
08/09/2016 - 20:56,64.3,3.35,32.35
08/09/2016 - 21:56,68.33,7.24,24.43
08/09/2016 - 22:56,70.08,7.99,21.93
08/09/2016 - 23:56,65.98,7.6,26.42
08/10/2016 - 00:56,67.58,7.7,24.72
08/10/2016 - 01:56,78.6,8.19,13.21
08/10/2016 - 02:56,67.35,8.55,24.1
08/10/2016 - 03:56,64.84,10.25,24.91
08/10/2016 - 04:56,61.39,12.28,26.33
08/10/2016 - 05:56,60.48,10.76,28.76
08/10/2016 - 06:56,64.31,10.27,25.42
08/10/2016 - 07:56,59.13,9.43,31.44
08/10/2016 - 08:56,59.37,9.15,31.48
08/10/2016 - 09:56,59.24,6.95,33.81
08/10/2016 - 10:56,55.33,7.56,37.11
08/10/2016 - 11:56,55.21,7.49,37.3
08/10/2016 - 12:56,56.57,6.82,36.61
08/10/2016 - 13:56,60.29,9.24,30.47
08/10/2016 - 14:56,60.26,7.91,31.84
08/10/2016 - 15:56,69.89,8.62,21.49
08/10/2016 - 16:56,68.64,9.3,22.06
08/10/2016 - 17:56,74.04,11.46,14.5
08/10/2016 - 18:56,62.6,30.75,6.66
08/10/2016 - 19:56,68.15,13.17,18.68
08/10/2016 - 20:56,90.86,4.07,5.07
08/10/2016 - 21:56,69.58,11.43,18.99
08/10/2016 - 22:56,72.33,10.51,17.16
08/10/2016 - 23:56,69.92,12.85,17.24
08/11/2016 - 00:56,72.07,12.18,15.75
08/11/2016 - 01:56,71.85,14.08,14.08
08/11/2016 - 02:56,69.94,12.88,17.18
08/11/2016 - 03:56,71.43,14.29,14.29
08/11/2016 - 04:56,76.57,12.58,10.85
08/11/2016 - 05:56,67.72,15.61,16.67
08/11/2016 - 06:56,70.47,15.28,14.25
08/11/2016 - 07:56,64.92,14.32,20.76
08/11/2016 - 08:56,64.92,14.56,20.53
08/11/2016 - 09:56,65.06,14.46,20.48
08/11/2016 - 10:56,67.61,14.55,17.84
08/11/2016 - 11:56,56.22,30.52,13.25
08/11/2016 - 12:56,57.5,29.43,13.06
08/11/2016 - 13:56,55.51,31.14,13.35
08/11/2016 - 14:56,64.56,25.24,10.19
08/11/2016 - 15:56,61.87,26.34,11.79
